source_model,dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemma-4-26b-a4b-it,dtd,features,72,3.7917,0.1202,4.8889,0.0611,4.8611,0.0823,5.0000,0.0000,4.9861,0.0139,4.0139,0.0917,3.5833,0.1699,4.9583,0.0237,4.9028,0.0403,4.5540,0.0412
google/gemma-4-26b-a4b-it,dtd,nle,72,3.7083,0.0958,4.4167,0.1149,4.4444,0.1593,4.7778,0.0601,4.5139,0.1153,3.8889,0.0755,4.0417,0.1273,4.6389,0.0823,4.6528,0.0819,4.3426,0.0595
google/gemma-4-26b-a4b-it,dtd,rulebased,72,4.0694,0.0870,4.8472,0.0615,4.3750,0.1636,4.6667,0.0766,4.5139,0.1187,4.3333,0.0740,3.9028,0.1534,4.1528,0.1322,4.2639,0.1327,4.3472,0.0734
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,70,3.2000,0.1180,4.8714,0.0672,4.9143,0.0635,4.4571,0.0665,4.9857,0.0143,4.3429,0.0702,4.5857,0.0921,3.5857,0.1047,3.6714,0.1637,4.2905,0.0502
google/gemma-4-26b-a4b-it,flowers,features,72,3.9306,0.0799,4.9444,0.0272,4.8056,0.0982,5.0000,0.0000,4.9722,0.0195,4.0833,0.0879,3.6806,0.1568,4.9444,0.0272,4.9861,0.0139,4.5941,0.0324
google/gemma-4-26b-a4b-it,flowers,nle,72,3.6111,0.0980,4.7500,0.0785,4.5694,0.1451,4.9722,0.0195,4.9444,0.0437,3.9722,0.0948,3.5972,0.1528,4.8472,0.0547,4.9167,0.0383,4.4645,0.0536
google/gemma-4-26b-a4b-it,flowers,rulebased,72,4.0556,0.0653,4.9028,0.0449,4.5833,0.1423,5.0000,0.0000,5.0000,0.0000,4.5139,0.0593,4.4167,0.0810,4.7361,0.0685,4.8889,0.0422,4.6775,0.0313
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,72,2.6389,0.1224,4.6944,0.0982,4.5000,0.1570,4.3333,0.0656,4.9583,0.0237,3.6667,0.1047,3.8750,0.1398,3.0833,0.0984,3.0139,0.1500,3.8627,0.0644
google/gemma-4-26b-a4b-it,pets,features,72,3.5278,0.0988,5.0000,0.0000,5.0000,0.0000,4.9861,0.0139,5.0000,0.0000,3.9444,0.0860,3.6806,0.1555,4.9722,0.0195,4.9167,0.0328,4.5587,0.0347
google/gemma-4-26b-a4b-it,pets,nle,72,3.2500,0.0984,4.7778,0.0844,4.8889,0.0780,5.0000,0.0000,4.9444,0.0272,3.5417,0.0883,3.3750,0.1362,4.9722,0.0278,4.9028,0.0449,4.4059,0.0451
google/gemma-4-26b-a4b-it,pets,rulebased,72,3.7778,0.0797,4.9306,0.0302,4.7639,0.1056,4.9861,0.0139,4.9861,0.0139,4.3889,0.0643,4.3611,0.1089,4.7639,0.0727,4.9028,0.0403,4.6513,0.0348
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,72,2.0417,0.1486,4.3056,0.1489,3.8333,0.2121,3.8611,0.0823,4.9583,0.0417,2.3472,0.1415,2.4861,0.1724,2.7639,0.0873,2.6389,0.1317,3.2485,0.0735
meta-llama/llama-4-scout,cifar10,features,72,3.2500,0.1231,4.5694,0.1043,4.5000,0.1506,4.9722,0.0195,4.9028,0.0403,3.3472,0.1156,3.4583,0.1735,4.3611,0.1142,4.6389,0.0975,4.2222,0.0624
meta-llama/llama-4-scout,cifar10,nle,72,3.2500,0.1132,4.2222,0.1429,4.3750,0.1660,4.9306,0.0302,4.6528,0.0718,3.0694,0.1053,3.2361,0.1752,4.5556,0.0946,4.6528,0.0843,4.1049,0.0707
meta-llama/llama-4-scout,cifar10,rulebased,72,2.8194,0.1107,4.6667,0.0928,4.0833,0.1905,4.8333,0.0559,4.9444,0.0272,3.5417,0.1007,3.3194,0.1832,4.0972,0.1206,4.4444,0.1117,4.0833,0.0623
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,72,2.3889,0.1488,4.4306,0.1354,3.8333,0.2158,4.1111,0.0939,4.9028,0.0690,2.9028,0.1521,2.8750,0.1701,2.8333,0.1047,2.5139,0.1297,3.4213,0.0839
meta-llama/llama-4-scout,dtd,features,72,3.4306,0.1339,4.8056,0.0703,4.6806,0.1167,4.9861,0.0139,4.8611,0.0456,3.5139,0.0969,3.0556,0.1689,4.6944,0.0920,4.6806,0.0945,4.3009,0.0561
meta-llama/llama-4-scout,dtd,nle,72,3.6944,0.1147,4.1389,0.1431,4.4306,0.1641,4.8333,0.0442,4.5139,0.0928,3.6528,0.0972,3.3056,0.1798,4.4583,0.0988,4.5972,0.0921,4.1806,0.0818
meta-llama/llama-4-scout,dtd,rulebased,71,3.0000,0.1331,4.6056,0.1089,3.8451,0.2110,4.9014,0.0356,5.0000,0.0000,3.5352,0.1000,2.9014,0.1739,4.1408,0.1158,4.4930,0.1059,4.0470,0.0674
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,72,2.0556,0.1249,4.5833,0.1166,3.9028,0.1989,4.0833,0.0856,4.9861,0.0139,2.8472,0.1578,2.9306,0.1611,3.0000,0.1047,2.9444,0.1581,3.4815,0.0673
meta-llama/llama-4-scout,flowers,features,72,3.1667,0.1083,4.6667,0.0685,3.6944,0.2118,5.0000,0.0000,4.9722,0.0195,3.2222,0.0844,2.6944,0.1261,4.9722,0.0195,4.9583,0.0237,4.1497,0.0471
meta-llama/llama-4-scout,flowers,nle,72,3.4722,0.0884,4.4167,0.1166,4.4861,0.1519,4.9722,0.0195,4.7639,0.0541,3.4861,0.0862,2.9583,0.1419,4.8611,0.0497,4.8333,0.0625,4.2500,0.0505
meta-llama/llama-4-scout,flowers,rulebased,72,2.9306,0.1089,4.4028,0.1181,3.4722,0.2211,4.7500,0.0585,4.9722,0.0195,3.4306,0.1024,3.2083,0.1398,4.2083,0.1311,4.3194,0.1294,3.9660,0.0753
meta-llama/llama-4-scout,pets,axioms_ontology_v2,72,1.7222,0.1105,4.2639,0.1266,4.1944,0.1883,3.9306,0.0749,4.9028,0.0690,2.1806,0.1599,2.4722,0.1735,3.0278,0.1118,2.7917,0.1453,3.2762,0.0765
meta-llama/llama-4-scout,pets,features,72,3.3333,0.1083,4.8333,0.0485,5.0000,0.0000,5.0000,0.0000,4.9861,0.0139,3.6944,0.0854,3.4861,0.1519,4.8750,0.0482,4.8750,0.0521,4.4537,0.0358
meta-llama/llama-4-scout,pets,nle,72,3.5000,0.0862,4.8333,0.0593,4.9444,0.0556,4.9583,0.0237,4.7639,0.0641,3.5000,0.0839,3.1111,0.1434,4.8472,0.0471,4.8889,0.0466,4.3719,0.0382
meta-llama/llama-4-scout,pets,rulebased,72,3.1250,0.1007,4.6250,0.1036,4.5972,0.1380,4.8194,0.0498,4.9722,0.0195,3.7639,0.0873,3.3333,0.1399,4.4444,0.1081,4.7222,0.0772,4.2670,0.0541
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,71,1.0845,0.0388,4.1972,0.1427,3.9859,0.2080,3.3803,0.0883,5.0000,0.0000,1.0704,0.0366,1.6338,0.1364,2.8873,0.1196,2.8732,0.1653,2.9014,0.0544
qwen/qwen3-vl-8b-instruct,cifar10,features,72,3.5417,0.1169,4.6944,0.0854,4.7361,0.1047,4.9722,0.0195,5.0000,0.0000,3.7222,0.0889,3.9167,0.1687,4.8194,0.0535,4.8472,0.0646,4.4722,0.0500
qwen/qwen3-vl-8b-instruct,cifar10,nle,72,3.7639,0.0803,4.2500,0.1231,4.7222,0.1140,4.9861,0.0139,4.7500,0.0551,3.6111,0.0875,3.8889,0.1448,4.5278,0.0884,4.8611,0.0497,4.3735,0.0453
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,72,3.6806,0.1005,4.7500,0.0649,4.5278,0.1440,4.9861,0.0139,5.0000,0.0000,3.9583,0.0826,4.0556,0.1505,4.2222,0.1123,4.9028,0.0403,4.4537,0.0444
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,72,1.1250,0.0624,4.3056,0.1394,3.7778,0.2187,3.4444,0.0837,5.0000,0.0000,1.2083,0.0838,1.7778,0.1443,2.8333,0.1009,2.8750,0.1735,2.9275,0.0623
qwen/qwen3-vl-8b-instruct,dtd,features,72,3.8889,0.1019,4.8611,0.0410,4.8194,0.0870,4.9861,0.0139,4.9583,0.0237,3.8750,0.0988,3.1528,0.1674,4.9583,0.0237,4.8889,0.0466,4.4877,0.0407
qwen/qwen3-vl-8b-instruct,dtd,nle,72,3.8472,0.0899,4.1389,0.1331,4.6667,0.1203,4.8889,0.0422,4.7222,0.0632,3.8750,0.0861,3.7917,0.1582,4.4444,0.0946,4.6806,0.0903,4.3395,0.0658
qwen/qwen3-vl-8b-instruct,dtd,rulebased,72,3.9583,0.0894,4.7639,0.0779,3.9444,0.2016,5.0000,0.0000,5.0000,0.0000,4.2778,0.0772,4.0278,0.1384,4.2083,0.1100,4.9306,0.0302,4.4568,0.0460
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,72,1.0000,0.0000,3.8750,0.1582,3.9444,0.2092,3.1667,0.0862,5.0000,0.0000,1.0000,0.0000,1.7083,0.1161,3.1806,0.1176,3.6667,0.1713,2.9491,0.0558
qwen/qwen3-vl-8b-instruct,flowers,features,72,3.5833,0.1042,4.8611,0.0410,4.5417,0.1341,5.0000,0.0000,5.0000,0.0000,3.8194,0.0976,3.3750,0.1636,5.0000,0.0000,4.9583,0.0237,4.4599,0.0413
qwen/qwen3-vl-8b-instruct,flowers,nle,72,3.7639,0.0827,4.5278,0.1008,4.7500,0.1115,4.9861,0.0139,4.9444,0.0272,4.1250,0.0764,3.7917,0.1218,4.8333,0.0523,4.9722,0.0278,4.5216,0.0423
qwen/qwen3-vl-8b-instruct,flowers,rulebased,72,3.6111,0.0918,4.8750,0.0624,4.3333,0.1678,4.9861,0.0139,4.9861,0.0139,4.1667,0.0791,4.0417,0.1391,4.4167,0.1079,4.9167,0.0514,4.4815,0.0467
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,72,1.0417,0.0237,4.2500,0.1367,4.1667,0.1928,3.5556,0.0710,5.0000,0.0000,1.0972,0.0449,1.6528,0.1222,3.0833,0.1183,2.9722,0.1735,2.9799,0.0570
qwen/qwen3-vl-8b-instruct,pets,features,72,3.1806,0.1034,4.8889,0.0422,4.9444,0.0556,5.0000,0.0000,5.0000,0.0000,3.7361,0.0928,3.2500,0.1567,4.8194,0.0498,4.8472,0.0582,4.4074,0.0382
qwen/qwen3-vl-8b-instruct,pets,nle,72,3.6667,0.0839,4.4861,0.1083,4.9444,0.0556,4.9722,0.0195,4.9306,0.0361,3.8056,0.0807,3.5278,0.1326,4.7500,0.0649,4.9028,0.0449,4.4429,0.0436
qwen/qwen3-vl-8b-instruct,pets,rulebased,72,3.3889,0.0852,4.8472,0.0582,4.7083,0.1144,4.9861,0.0139,5.0000,0.0000,3.9306,0.0722,3.7361,0.1545,4.1250,0.1100,4.9306,0.0302,4.4059,0.0374
