prompt_type,model,dataset,config_n,config_k,correct,total,accuracy,standard_error,ci95_low,ci95_high
features,google/gemini-2.5-flash,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,pets,3,1,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,pets,4,1,12,12,1.0000,0.000000,0.7575,1.0000
features,google/gemini-2.5-flash,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,cifar10,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,cifar10,3,1,11,12,0.9167,0.079786,0.6461,0.9851
nle,google/gemini-2.5-flash,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,cifar10,4,1,11,12,0.9167,0.079786,0.6461,0.9851
nle,google/gemini-2.5-flash,cifar10,4,5,11,12,0.9167,0.079786,0.6461,0.9851
nle,google/gemini-2.5-flash,dtd,2,1,10,12,0.8333,0.107583,0.5520,0.9530
nle,google/gemini-2.5-flash,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,dtd,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,dtd,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,dtd,4,1,9,12,0.7500,0.125000,0.4677,0.9111
nle,google/gemini-2.5-flash,dtd,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,pets,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,pets,4,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemini-2.5-flash,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,cifar10,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,cifar10,3,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemini-2.5-flash,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,cifar10,4,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemini-2.5-flash,cifar10,4,5,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemini-2.5-flash,dtd,2,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,google/gemini-2.5-flash,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,dtd,3,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemini-2.5-flash,dtd,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,dtd,4,1,9,12,0.7500,0.125000,0.4677,0.9111
rulebased,google/gemini-2.5-flash,dtd,4,5,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemini-2.5-flash,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,pets,3,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemini-2.5-flash,pets,4,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,google/gemini-2.5-flash,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
