source_model,dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemma-4-26b-a4b-it,flowers,rulebased,61,4.2623,0.1069,4.9672,0.0328,4.7377,0.1143,5.0000,0.0000,5.0000,0.0000,4.9836,0.0164,4.9836,0.0164,4.9836,0.0164,4.9836,0.0164,4.8780,0.0246
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,41,3.2927,0.1952,4.6829,0.1540,4.7317,0.1441,2.4390,0.2210,5.0000,0.0000,4.0000,0.2394,4.3415,0.2025,4.9024,0.0469,4.5854,0.1439,4.2195,0.0862
google/gemma-4-26b-a4b-it,pets,features,69,3.6087,0.1325,4.9275,0.0314,5.0000,0.0000,5.0000,0.0000,4.9710,0.0203,4.5217,0.0960,3.7536,0.1631,4.9710,0.0203,4.7391,0.1066,4.6103,0.0474
google/gemma-4-26b-a4b-it,pets,nle,68,3.1029,0.1344,4.5294,0.1137,4.9118,0.0654,4.9412,0.0287,4.7794,0.0721,3.8971,0.1311,3.8676,0.1552,4.8529,0.0524,4.7500,0.0606,4.4036,0.0649
google/gemma-4-26b-a4b-it,pets,rulebased,62,4.1290,0.1408,4.9839,0.0161,5.0000,0.0000,5.0000,0.0000,4.9839,0.0161,4.9032,0.0379,4.9355,0.0390,5.0000,0.0000,5.0000,0.0000,4.8817,0.0191
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,42,3.0238,0.2299,4.6190,0.1484,4.1190,0.2555,2.6190,0.2207,5.0000,0.0000,3.4762,0.2795,4.0000,0.2595,4.9048,0.0571,4.3095,0.2247,4.0079,0.1432
meta-llama/llama-4-scout,cifar10,features,64,3.5156,0.1373,4.8125,0.0859,4.7344,0.1002,4.9844,0.0156,4.8438,0.0509,4.0938,0.1506,3.6719,0.1837,4.9062,0.0367,4.3750,0.1486,4.4375,0.0751
meta-llama/llama-4-scout,cifar10,nle,71,3.1690,0.1300,3.8310,0.1567,4.5915,0.1309,4.8592,0.0612,4.3239,0.0978,3.5070,0.1298,3.5211,0.1701,4.7465,0.0743,4.5493,0.0892,4.1221,0.0871
meta-llama/llama-4-scout,cifar10,rulebased,67,3.4328,0.1492,4.6567,0.1195,4.6567,0.1303,4.9254,0.0534,4.9104,0.0351,4.1791,0.1344,3.6716,0.2044,4.7015,0.0796,4.5821,0.1187,4.4129,0.0789
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,44,3.5455,0.2377,4.6591,0.1377,3.9545,0.2640,2.4545,0.2421,5.0000,0.0000,3.7045,0.2789,3.8182,0.2726,4.6591,0.1214,3.9318,0.2376,3.9697,0.1381
meta-llama/llama-4-scout,dtd,features,66,3.5758,0.1349,4.7576,0.0838,4.6515,0.1231,5.0000,0.0000,4.8333,0.0595,3.9697,0.1511,3.3333,0.1785,4.8333,0.0668,4.4697,0.1386,4.3805,0.0726
meta-llama/llama-4-scout,dtd,nle,68,3.3529,0.1304,3.8824,0.1709,4.6618,0.1215,4.7794,0.0657,4.3529,0.1181,3.8971,0.1484,3.7794,0.1964,4.8676,0.0589,4.4559,0.1156,4.2255,0.0952
meta-llama/llama-4-scout,dtd,rulebased,63,3.6190,0.1542,4.6508,0.1016,4.7937,0.0910,5.0000,0.0000,4.9841,0.0159,4.1905,0.1257,4.0794,0.1743,4.8571,0.0634,4.7619,0.0807,4.5485,0.0615
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,29,2.5172,0.2962,4.6897,0.1929,2.3793,0.3593,2.0000,0.3099,5.0000,0.0000,3.0690,0.3777,3.5517,0.3565,4.9310,0.0479,4.2414,0.2562,3.5977,0.1685
meta-llama/llama-4-scout,flowers,features,61,3.1148,0.1239,4.7213,0.0744,4.1475,0.1911,5.0000,0.0000,4.7869,0.0624,3.3934,0.1408,2.8689,0.1594,4.8525,0.0514,4.6230,0.1149,4.1676,0.0663
meta-llama/llama-4-scout,flowers,nle,67,3.0149,0.1115,3.8060,0.1522,4.0299,0.1902,4.8507,0.0647,4.4925,0.0861,3.9701,0.1275,3.4925,0.1784,4.8060,0.0713,4.6567,0.0916,4.1244,0.0860
meta-llama/llama-4-scout,flowers,rulebased,62,3.1935,0.1451,4.3871,0.1367,3.9677,0.2082,4.9516,0.0275,4.9677,0.0226,4.2097,0.1262,3.9677,0.1736,4.6290,0.0927,4.5968,0.1040,4.3190,0.0783
meta-llama/llama-4-scout,pets,axioms_ontology_v2,34,2.2941,0.2688,4.3235,0.2452,2.9412,0.3428,1.4706,0.1536,4.7647,0.1638,2.7353,0.3196,2.9706,0.3201,4.8235,0.1229,3.9706,0.2816,3.3660,0.1720
meta-llama/llama-4-scout,pets,features,65,3.5538,0.1334,4.9385,0.0300,5.0000,0.0000,5.0000,0.0000,4.9692,0.0216,4.5077,0.1077,3.5846,0.1625,5.0000,0.0000,4.7538,0.0878,4.5897,0.0427
meta-llama/llama-4-scout,pets,nle,67,3.1940,0.1226,4.4478,0.1151,4.9552,0.0332,4.8806,0.0583,4.5970,0.0976,3.9104,0.1289,3.5821,0.1636,4.8209,0.0599,4.7313,0.0724,4.3466,0.0661
meta-llama/llama-4-scout,pets,rulebased,57,3.1579,0.1539,4.6140,0.1194,4.8947,0.0542,4.9825,0.0175,4.9649,0.0246,4.3509,0.1047,3.9298,0.1820,4.8070,0.0635,4.8772,0.0505,4.5088,0.0517
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,41,1.2439,0.1147,3.0000,0.2943,1.4878,0.2070,1.2439,0.1199,4.7073,0.1492,1.2195,0.1375,1.6098,0.2233,4.4878,0.1487,3.2195,0.2761,2.4688,0.1057
qwen/qwen3-vl-8b-instruct,cifar10,features,66,3.6515,0.1231,4.9697,0.0213,4.9091,0.0673,4.9848,0.0152,5.0000,0.0000,4.1818,0.1276,3.6970,0.1672,4.9697,0.0213,4.8182,0.0861,4.5758,0.0465
qwen/qwen3-vl-8b-instruct,cifar10,nle,70,3.3857,0.1138,3.6714,0.1546,4.6571,0.1348,4.8571,0.0510,4.3714,0.1021,3.8429,0.1265,4.0143,0.1556,4.6000,0.0799,4.4714,0.1052,4.2079,0.0840
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,65,4.3692,0.1064,4.7846,0.0943,4.8615,0.0874,5.0000,0.0000,5.0000,0.0000,4.6769,0.0880,4.4615,0.1405,4.8923,0.0543,4.9077,0.0569,4.7727,0.0518
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,36,1.3611,0.1269,3.1667,0.3150,2.0000,0.2928,1.0556,0.0387,4.6389,0.1389,1.1111,0.1111,1.6667,0.2520,4.7222,0.1169,3.0278,0.2914,2.5278,0.1007
qwen/qwen3-vl-8b-instruct,dtd,features,67,4.1194,0.1285,4.9552,0.0255,4.9552,0.0332,5.0000,0.0000,4.9851,0.0149,4.5821,0.0955,3.7463,0.1758,4.9701,0.0299,4.7612,0.0905,4.6750,0.0476
qwen/qwen3-vl-8b-instruct,dtd,nle,69,3.6812,0.1247,3.9275,0.1669,4.7101,0.1170,4.9130,0.0399,4.6522,0.0821,4.2899,0.1241,3.9710,0.1752,4.8841,0.0486,4.5362,0.1084,4.3961,0.0819
qwen/qwen3-vl-8b-instruct,dtd,rulebased,65,4.7077,0.0869,4.9538,0.0262,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.8462,0.0629,4.6615,0.1124,4.9077,0.0477,4.9692,0.0308,4.8940,0.0289
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,30,1.0000,0.0000,2.3333,0.3502,1.0000,0.0000,1.0000,0.0000,5.0000,0.0000,1.0000,0.0000,1.0000,0.0000,4.0667,0.2752,4.0667,0.2914,2.2741,0.0607
qwen/qwen3-vl-8b-instruct,flowers,features,66,3.9091,0.1052,4.9394,0.0296,4.6212,0.1217,5.0000,0.0000,5.0000,0.0000,4.5455,0.1017,3.8788,0.1424,4.9545,0.0258,4.8485,0.0815,4.6330,0.0428
qwen/qwen3-vl-8b-instruct,flowers,nle,62,3.7258,0.1199,4.0806,0.1513,4.3710,0.1724,4.9516,0.0275,4.7419,0.0648,4.6290,0.0736,4.4839,0.1211,4.8871,0.0405,4.8387,0.0524,4.5233,0.0622
qwen/qwen3-vl-8b-instruct,flowers,rulebased,70,4.1143,0.1247,4.8429,0.0694,4.8143,0.0821,5.0000,0.0000,4.9857,0.0143,4.7857,0.0640,4.7429,0.0969,4.9143,0.0528,4.9714,0.0286,4.7968,0.0429
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,28,1.0357,0.0357,3.0000,0.3849,1.0000,0.0000,1.0000,0.0000,4.7143,0.1983,1.0000,0.0000,1.2857,0.1983,4.0000,0.2623,3.0714,0.3777,2.2341,0.0895
qwen/qwen3-vl-8b-instruct,pets,features,68,3.2059,0.1196,4.8529,0.0565,4.9412,0.0588,5.0000,0.0000,4.9706,0.0206,4.2794,0.1355,3.3529,0.1633,4.9706,0.0206,4.8676,0.0723,4.4935,0.0458
qwen/qwen3-vl-8b-instruct,pets,nle,66,3.1364,0.1160,3.6515,0.1747,4.8333,0.0905,4.9394,0.0296,4.6061,0.0887,4.0455,0.1089,3.8333,0.1536,4.6667,0.0788,4.5909,0.0915,4.2559,0.0717
qwen/qwen3-vl-8b-instruct,pets,rulebased,66,3.5000,0.1468,4.8333,0.0702,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.6212,0.0857,4.1212,0.1609,4.8939,0.0439,4.8788,0.0551,4.6498,0.0403
