item_id,annotator_pair,model,dataset,prompt_type,config_n,config_k,run_id,query_index_within_episode,condition,model_short,stratum,ann1_TG,ann2_TG,mean_TG,ann1_HF,ann2_HF,mean_HF,ann1_CC,ann2_CC,mean_CC,ann1_CP,ann2_CP,mean_CP,ann1_Cn,ann2_Cn,mean_Cn,ann1_S,ann2_S,mean_S,ann1_LD,ann2_LD,mean_LD,ann1_IF,ann2_IF,mean_IF,ann1_LC,ann2_LC,mean_LC,textual_groundedness,hallucination_free,concept_counting,comprehensibility,conciseness,specificity,discriminativeness,instruction_following,logical_coherence
11,carmen_leticia,google/gemini-2.5-flash,pets,nle,3,5,3,1,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_pets,3,5,4.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,3,5,4.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
12,carmen_leticia,google/gemini-2.5-flash,pets,nle,4,5,0,2,E2,Gemini-2.5-Flash,E2_Gemini-2.5-Flash_pets,2,5,3.5,5,5,5.0,4,4,4.0,5,5,5.0,5,5,5.0,3,4,3.5,4,5,4.5,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0
13,carmen_leticia,google/gemma-4-26b-a4b-it,cifar10,nle,4,1,2,2,E2,Gemma-4-26B,E2_Gemma-4-26B_cifar10,1,3,2.0,1,3,2.0,1,2,1.5,1,1,1.0,1,1,1.0,1,2,1.5,1,4,2.5,3,3,3.0,1,3,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0
14,carmen_leticia,google/gemma-4-26b-a4b-it,cifar10,nle,3,5,2,1,E2,Gemma-4-26B,E2_Gemma-4-26B_cifar10,4,5,4.5,5,5,5.0,5,4,4.5,5,4,4.5,5,5,5.0,5,4,4.5,5,4,4.5,5,5,5.0,5,5,5.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0
15,carmen_leticia,google/gemma-4-26b-a4b-it,cifar10,nle,4,1,0,2,E2,Gemma-4-26B,E2_Gemma-4-26B_cifar10,3,5,4.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,4,4.5,5,5,5.0,5,5,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0
16,carmen_leticia,google/gemma-4-26b-a4b-it,dtd,nle,3,5,3,2,E2,Gemma-4-26B,E2_Gemma-4-26B_dtd,3,5,4.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4,5,4.5,2,5,3.5,5,5,5.0,5,3,4.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0
17,carmen_leticia,google/gemma-4-26b-a4b-it,dtd,nle,3,1,0,0,E2,Gemma-4-26B,E2_Gemma-4-26B_dtd,3,5,4.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0
18,carmen_leticia,google/gemma-4-26b-a4b-it,dtd,nle,3,1,0,2,E2,Gemma-4-26B,E2_Gemma-4-26B_dtd,4,3,3.5,5,4,4.5,4,4,4.0,5,3,4.0,1,3,2.0,3,5,4.0,3,3,3.0,5,4,4.5,2,3,2.5,5.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0
19,carmen_leticia,google/gemma-4-26b-a4b-it,flowers,nle,2,1,2,0,E2,Gemma-4-26B,E2_Gemma-4-26B_flowers,3,5,4.0,5,5,5.0,3,4,3.5,5,5,5.0,5,5,5.0,2,4,3.0,2,5,3.5,5,5,5.0,4,5,4.5,2.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0
20,carmen_leticia,google/gemma-4-26b-a4b-it,flowers,nle,3,1,0,1,E2,Gemma-4-26B,E2_Gemma-4-26B_flowers,2,5,3.5,5,5,5.0,2,5,3.5,5,5,5.0,5,5,5.0,2,5,3.5,3,5,4.0,5,5,5.0,4,5,4.5,2.0,5.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0
21,carmen_leticia,google/gemma-4-26b-a4b-it,flowers,nle,2,5,5,0,E2,Gemma-4-26B,E2_Gemma-4-26B_flowers,4,5,4.5,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
22,carmen_leticia,google/gemma-4-26b-a4b-it,pets,nle,4,1,1,1,E2,Gemma-4-26B,E2_Gemma-4-26B_pets,2,5,3.5,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,2,5,3.5,2,5,3.5,5,5,5.0,4,5,4.5,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
23,carmen_leticia,google/gemma-4-26b-a4b-it,pets,nle,2,5,1,0,E2,Gemma-4-26B,E2_Gemma-4-26B_pets,5,5,5.0,5,5,5.0,3,4,3.5,5,5,5.0,5,5,5.0,5,4,4.5,5,5,5.0,5,5,5.0,4,4,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
24,carmen_leticia,google/gemma-4-26b-a4b-it,pets,nle,4,1,2,3,E2,Gemma-4-26B,E2_Gemma-4-26B_pets,3,3,3.0,5,4,4.5,4,4,4.0,4,3,3.5,1,3,2.0,1,3,2.0,1,3,2.0,5,4,4.5,3,3,3.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0
25,carmen_leticia,meta-llama/llama-4-scout,cifar10,nle,4,1,1,3,E2,Llama-4-Scout,E2_Llama-4-Scout_cifar10,3,2,2.5,2,2,2.0,2,4,3.0,5,4,4.5,5,4,4.5,3,4,3.5,2,2,2.0,5,5,5.0,4,3,3.5,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
26,carmen_leticia,meta-llama/llama-4-scout,cifar10,nle,4,1,2,2,E2,Llama-4-Scout,E2_Llama-4-Scout_cifar10,4,5,4.5,5,5,5.0,4,4,4.0,5,5,5.0,3,4,3.5,3,5,4.0,4,5,4.5,5,5,5.0,5,5,5.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0
27,carmen_leticia,meta-llama/llama-4-scout,cifar10,nle,3,5,0,2,E2,Llama-4-Scout,E2_Llama-4-Scout_cifar10,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,3,5,4.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0
28,carmen_leticia,meta-llama/llama-4-scout,dtd,nle,3,5,1,2,E2,Llama-4-Scout,E2_Llama-4-Scout_dtd,4,5,4.5,5,5,5.0,4,5,4.5,5,5,5.0,1,5,3.0,2,5,3.5,1,5,3.0,4,5,4.5,3,5,4.0,4.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0
29,carmen_leticia,meta-llama/llama-4-scout,dtd,nle,3,5,2,2,E2,Llama-4-Scout,E2_Llama-4-Scout_dtd,2,2,2.0,1,2,1.5,2,3,2.5,5,3,4.0,4,4,4.0,2,4,3.0,1,3,2.0,4,4,4.0,4,1,2.5,1.0,1.0,1.0,5.0,5.0,4.0,1.0,2.0,4.0
30,carmen_leticia,meta-llama/llama-4-scout,dtd,nle,3,5,2,0,E2,Llama-4-Scout,E2_Llama-4-Scout_dtd,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4,5,4.5,5,4,4.5,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
31,carmen_leticia,meta-llama/llama-4-scout,flowers,nle,4,5,2,1,E2,Llama-4-Scout,E2_Llama-4-Scout_flowers,4,5,4.5,2,5,3.5,1,5,3.0,5,5,5.0,5,5,5.0,2,5,3.5,1,5,3.0,5,5,5.0,5,5,5.0,2.0,2.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0
32,carmen_leticia,meta-llama/llama-4-scout,flowers,nle,4,1,2,0,E2,Llama-4-Scout,E2_Llama-4-Scout_flowers,4,5,4.5,4,5,4.5,4,5,4.5,5,5,5.0,5,5,5.0,3,5,4.0,3,5,4.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
33,carmen_leticia,meta-llama/llama-4-scout,flowers,nle,3,5,2,2,E2,Llama-4-Scout,E2_Llama-4-Scout_flowers,3,5,4.0,5,5,5.0,2,5,3.5,3,5,4.0,3,5,4.0,3,5,4.0,2,5,3.5,5,5,5.0,5,5,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
34,carmen_leticia,meta-llama/llama-4-scout,pets,nle,3,5,0,0,E2,Llama-4-Scout,E2_Llama-4-Scout_pets,4,5,4.5,5,5,5.0,4,5,4.5,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
35,carmen_leticia,meta-llama/llama-4-scout,pets,nle,2,5,2,1,E2,Llama-4-Scout,E2_Llama-4-Scout_pets,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,4,5,4.5,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
36,carmen_leticia,meta-llama/llama-4-scout,pets,nle,3,1,0,2,E2,Llama-4-Scout,E2_Llama-4-Scout_pets,1,5,3.0,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,2,5,3.5,1,5,3.0,5,5,5.0,3,5,4.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0
37,carmen_leticia,qwen/qwen3-vl-8b-instruct,cifar10,nle,2,1,4,1,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_cifar10,4,5,4.5,1,5,3.0,4,5,4.5,5,5,5.0,4,5,4.5,3,5,4.0,3,5,4.0,5,5,5.0,3,5,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
38,carmen_leticia,qwen/qwen3-vl-8b-instruct,cifar10,nle,2,1,3,1,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_cifar10,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,3,4,3.5,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
39,carmen_leticia,qwen/qwen3-vl-8b-instruct,cifar10,nle,2,5,0,0,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_cifar10,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,3,5,4.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
40,carmen_leticia,qwen/qwen3-vl-8b-instruct,dtd,nle,2,1,2,1,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_dtd,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,3,5,4.0,4,3,3.5,2,3,2.5,5,5,5.0,5,5,5.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0
41,carmen_leticia,qwen/qwen3-vl-8b-instruct,dtd,nle,2,5,3,1,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_dtd,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,3,5,4.0,4,5,4.5,5,5,5.0,5,4,4.5,5,5,5.0,3.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0
42,carmen_leticia,qwen/qwen3-vl-8b-instruct,dtd,nle,2,1,0,1,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_dtd,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
43,carmen_leticia,qwen/qwen3-vl-8b-instruct,flowers,nle,4,5,1,2,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_flowers,3,5,4.0,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,2,5,3.5,1,5,3.0,5,5,5.0,3,5,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
44,carmen_leticia,qwen/qwen3-vl-8b-instruct,flowers,nle,4,5,0,3,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_flowers,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45,carmen_leticia,qwen/qwen3-vl-8b-instruct,flowers,nle,4,5,1,3,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_flowers,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
46,carmen_leticia,qwen/qwen3-vl-8b-instruct,pets,nle,2,5,4,1,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_pets,4,5,4.5,4,5,4.5,4,5,4.5,5,5,5.0,3,5,4.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
47,carmen_leticia,qwen/qwen3-vl-8b-instruct,pets,nle,4,1,1,3,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_pets,3,5,4.0,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,1,5,3.0,2,5,3.5,5,5,5.0,5,5,5.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0
48,carmen_leticia,qwen/qwen3-vl-8b-instruct,pets,nle,3,1,3,2,E2,Qwen3-VL-8B,E2_Qwen3-VL-8B_pets,2,4,3.0,5,5,5.0,2,3,2.5,5,5,5.0,2,5,3.5,1,5,3.0,1,4,2.5,5,5,5.0,2,5,3.5,2.0,2.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0
49,carmen_leticia,google/gemini-2.5-flash,cifar10,features,4,5,1,0,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_cifar10,2,3,2.5,2,3,2.5,1,5,3.0,5,5,5.0,5,5,5.0,2,5,3.5,1,3,2.0,4,5,4.5,2,4,3.0,3.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0
50,carmen_leticia,google/gemini-2.5-flash,cifar10,features,4,5,0,3,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_cifar10,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0
51,carmen_leticia,google/gemini-2.5-flash,cifar10,features,2,5,4,0,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_cifar10,3,5,4.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,1,5,3.0,3,5,4.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0
52,carmen_leticia,google/gemini-2.5-flash,dtd,features,4,1,1,0,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_dtd,1,3,2.0,5,3,4.0,2,5,3.5,5,5,5.0,5,5,5.0,2,5,3.5,1,5,3.0,5,5,5.0,4,4,4.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0
53,carmen_leticia,google/gemini-2.5-flash,dtd,features,2,5,4,1,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_dtd,5,5,5.0,5,5,5.0,5,4,4.5,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
54,carmen_leticia,google/gemini-2.5-flash,dtd,features,2,5,2,0,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_dtd,5,5,5.0,5,5,5.0,5,4,4.5,5,5,5.0,4,5,4.5,5,4,4.5,4,5,4.5,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
55,carmen_leticia,google/gemini-2.5-flash,flowers,features,4,1,2,1,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_flowers,3,5,4.0,5,5,5.0,3,5,4.0,3,5,4.0,2,5,3.5,3,5,4.0,2,5,3.5,2,5,3.5,4,5,4.5,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0
56,carmen_leticia,google/gemini-2.5-flash,flowers,features,4,1,1,0,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_flowers,4,5,4.5,5,5,5.0,3,5,4.0,5,5,5.0,4,5,4.5,3,5,4.0,2,5,3.5,3,5,4.0,4,5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
57,carmen_leticia,google/gemini-2.5-flash,flowers,features,3,1,0,2,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_flowers,4,5,4.5,5,5,5.0,2,4,3.0,4,5,4.5,5,5,5.0,2,5,3.5,1,5,3.0,2,5,3.5,4,5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
58,carmen_leticia,google/gemini-2.5-flash,pets,features,2,5,5,1,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_pets,4,5,4.5,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,3,5,4.0,4,5,4.5,5,5,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
59,carmen_leticia,google/gemini-2.5-flash,pets,features,3,5,0,2,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_pets,2,5,3.5,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,2,5,3.5,1,5,3.0,5,5,5.0,5,5,5.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0
60,carmen_leticia,google/gemini-2.5-flash,pets,features,2,1,1,1,E3,Gemini-2.5-Flash,E3_Gemini-2.5-Flash_pets,4,5,4.5,5,5,5.0,4,4,4.0,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
61,carmen_leticia,google/gemma-4-26b-a4b-it,cifar10,features,4,1,2,2,E3,Gemma-4-26B,E3_Gemma-4-26B_cifar10,2,3,2.5,3,3,3.0,3,3,3.0,5,5,5.0,5,5,5.0,3,4,3.5,1,3,2.0,5,5,5.0,5,4,4.5,1.0,2.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0
62,carmen_leticia,google/gemma-4-26b-a4b-it,cifar10,features,4,1,0,3,E3,Gemma-4-26B,E3_Gemma-4-26B_cifar10,3,3,3.0,5,3,4.0,5,3,4.0,5,3,4.0,5,4,4.5,2,3,2.5,1,3,2.0,5,4,4.5,5,3,4.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,4.0
63,carmen_leticia,google/gemma-4-26b-a4b-it,cifar10,features,2,5,5,0,E3,Gemma-4-26B,E3_Gemma-4-26B_cifar10,5,5,5.0,5,5,5.0,4,4,4.0,5,5,5.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
64,carmen_leticia,google/gemma-4-26b-a4b-it,dtd,features,3,5,3,2,E3,Gemma-4-26B,E3_Gemma-4-26B_dtd,4,5,4.5,5,5,5.0,5,4,4.5,5,5,5.0,5,5,5.0,1,5,3.0,1,5,3.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0
65,leticia_nico,google/gemma-4-26b-a4b-it,dtd,features,4,5,0,2,E3,Gemma-4-26B,E3_Gemma-4-26B_dtd,4,2,3.0,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,3,4.0,5,2,3.5,5,5,5.0,5,4,4.5,2.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0
66,leticia_nico,google/gemma-4-26b-a4b-it,dtd,features,4,5,1,1,E3,Gemma-4-26B,E3_Gemma-4-26B_dtd,4,3,3.5,5,5,5.0,4,5,4.5,5,5,5.0,5,5,5.0,5,2,3.5,5,4,4.5,5,5,5.0,5,4,4.5,1.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0
67,leticia_nico,google/gemma-4-26b-a4b-it,flowers,features,4,1,1,1,E3,Gemma-4-26B,E3_Gemma-4-26B_flowers,4,5,4.5,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
68,leticia_nico,google/gemma-4-26b-a4b-it,flowers,features,4,1,2,0,E3,Gemma-4-26B,E3_Gemma-4-26B_flowers,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
69,leticia_nico,google/gemma-4-26b-a4b-it,flowers,features,3,5,0,0,E3,Gemma-4-26B,E3_Gemma-4-26B_flowers,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
70,leticia_nico,google/gemma-4-26b-a4b-it,pets,features,4,1,1,1,E3,Gemma-4-26B,E3_Gemma-4-26B_pets,5,5,5.0,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
71,leticia_nico,google/gemma-4-26b-a4b-it,pets,features,3,5,1,2,E3,Gemma-4-26B,E3_Gemma-4-26B_pets,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
72,leticia_nico,google/gemma-4-26b-a4b-it,pets,features,4,1,1,2,E3,Gemma-4-26B,E3_Gemma-4-26B_pets,4,3,3.5,5,5,5.0,3,5,4.0,5,5,5.0,5,5,5.0,5,4,4.5,3,3,3.0,5,5,5.0,3,2,2.5,3.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0
73,leticia_nico,meta-llama/llama-4-scout,cifar10,features,4,1,1,3,E3,Llama-4-Scout,E3_Llama-4-Scout_cifar10,3,1,2.0,2,1,1.5,5,5,5.0,4,5,4.5,4,5,4.5,4,5,4.5,5,5,5.0,5,5,5.0,4,5,4.5,1.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0
74,leticia_nico,meta-llama/llama-4-scout,cifar10,features,3,1,2,1,E3,Llama-4-Scout,E3_Llama-4-Scout_cifar10,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,5,5.0,5,3,4.0,5,5,5.0,5,5,5.0,5,5,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0
