source_model,dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
meta-llama/llama-4-scout,pets,axioms_ontology_v2,56,2.1964,0.1755,3.6607,0.2448,2.9286,0.2695,2.1607,0.1524,4.1607,0.2082,2.6250,0.2357,2.4643,0.2390,4.1964,0.1880,4.3214,0.1552,3.1905,0.1628
meta-llama/llama-4-scout,pets,features,68,3.7794,0.1201,4.8529,0.0481,5.0000,0.0000,5.0000,0.0000,4.9412,0.0287,4.0294,0.1166,3.3382,0.1505,4.9853,0.0147,4.9265,0.0382,4.5392,0.0409
meta-llama/llama-4-scout,pets,nle,70,3.3857,0.1120,4.8286,0.0674,4.9429,0.0571,4.9286,0.0469,4.6857,0.0876,4.0429,0.1416,3.6571,0.1701,5.0000,0.0000,4.7857,0.0785,4.4730,0.0619
meta-llama/llama-4-scout,pets,rulebased,63,3.6032,0.1560,4.6667,0.1197,4.7302,0.1180,5.0000,0.0000,4.9841,0.0159,4.5238,0.1128,4.0635,0.1516,4.7302,0.0757,4.8095,0.0779,4.5679,0.0660
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,56,1.2143,0.0553,2.2143,0.2081,1.1429,0.1001,1.5179,0.1081,3.5714,0.2099,1.0179,0.0179,1.1429,0.0536,4.0536,0.1640,4.2321,0.1348,2.2341,0.0692
qwen/qwen3-vl-8b-instruct,cifar10,features,69,4.0870,0.1047,4.9855,0.0145,4.8696,0.0682,4.9855,0.0145,4.9710,0.0203,4.0290,0.1338,3.8551,0.1616,4.9710,0.0203,4.8116,0.0723,4.6184,0.0474
qwen/qwen3-vl-8b-instruct,cifar10,nle,67,3.7164,0.1141,4.4925,0.1334,4.8657,0.0848,5.0000,0.0000,4.6716,0.0749,4.2687,0.1117,4.1940,0.1552,4.8657,0.0558,4.7910,0.0584,4.5406,0.0602
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,68,4.3088,0.1262,4.7647,0.1029,4.8824,0.0826,5.0000,0.0000,5.0000,0.0000,4.4412,0.1192,4.3382,0.1476,4.8824,0.0612,4.8824,0.0575,4.7222,0.0575
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,55,1.2909,0.1180,2.7455,0.2492,1.2182,0.1236,1.5273,0.1319,3.7455,0.1997,1.2182,0.1236,1.4182,0.1438,3.7273,0.1897,3.8000,0.1690,2.2990,0.1080
qwen/qwen3-vl-8b-instruct,dtd,features,67,4.3582,0.1013,4.9552,0.0255,4.9701,0.0299,5.0000,0.0000,4.8507,0.0611,4.4179,0.1108,3.6716,0.1797,4.9851,0.0149,4.8060,0.0908,4.6683,0.0478
qwen/qwen3-vl-8b-instruct,dtd,nle,67,4.0448,0.1051,4.5821,0.1224,4.9851,0.0149,5.0000,0.0000,4.8507,0.0532,4.6119,0.0849,4.3134,0.1594,4.9403,0.0361,4.7910,0.0753,4.6799,0.0583
qwen/qwen3-vl-8b-instruct,dtd,rulebased,67,4.7313,0.0658,4.9552,0.0448,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.9552,0.0332,4.5821,0.1296,4.9104,0.0463,5.0000,0.0000,4.9038,0.0210
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,57,1.0175,0.0175,2.5439,0.2529,1.0000,0.0000,1.2807,0.0651,2.9649,0.2321,1.0000,0.0000,1.0351,0.0246,3.0877,0.1927,3.5088,0.1754,1.9376,0.0711
qwen/qwen3-vl-8b-instruct,flowers,features,65,4.0462,0.1084,4.8154,0.0654,4.7385,0.0987,5.0000,0.0000,5.0000,0.0000,4.2308,0.1113,4.1231,0.1191,4.9846,0.0154,4.8769,0.0559,4.6462,0.0490
qwen/qwen3-vl-8b-instruct,flowers,nle,66,4.1667,0.0905,4.8333,0.0668,4.8333,0.0796,4.9697,0.0213,4.9697,0.0303,4.8030,0.0723,4.8788,0.0630,4.9848,0.0152,4.9848,0.0152,4.8249,0.0325
qwen/qwen3-vl-8b-instruct,flowers,rulebased,70,4.2429,0.1177,4.8000,0.0693,4.6571,0.1075,5.0000,0.0000,5.0000,0.0000,4.7857,0.0672,4.7714,0.0843,4.9286,0.0512,4.9857,0.0143,4.7968,0.0374
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,53,1.0755,0.0455,2.0755,0.2346,1.1509,0.1057,1.4340,0.0914,3.0943,0.2458,1.0755,0.0529,1.0377,0.0264,3.0566,0.1603,3.1698,0.1655,1.9077,0.0846
qwen/qwen3-vl-8b-instruct,pets,features,68,3.6912,0.1262,4.8971,0.0371,5.0000,0.0000,5.0000,0.0000,4.9118,0.0456,4.0882,0.1252,3.5735,0.1395,5.0000,0.0000,4.7794,0.0933,4.5490,0.0453
qwen/qwen3-vl-8b-instruct,pets,nle,69,3.6812,0.1159,4.5797,0.1175,4.9420,0.0580,5.0000,0.0000,4.8986,0.0420,4.4928,0.0938,4.3623,0.1221,4.9420,0.0283,4.8696,0.0581,4.6409,0.0538
qwen/qwen3-vl-8b-instruct,pets,rulebased,64,3.7969,0.1497,4.7812,0.0786,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.5781,0.1087,4.2500,0.1477,4.9062,0.0577,4.9062,0.0658,4.6910,0.0450
