=== DEBUG LOG: qwen-vl | flowers | Prompt: classification ===
Run 0 | Query 9: Expected: [31] | Extracted: [31] -> Correct: True
Run 0 | Query 10: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 11: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 12: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 13: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 14: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 15: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 16: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 17: Expected: [11] | Extracted: [11] -> Correct: True
Run 0 | Query 18: Expected: [11] | Extracted: [11] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 0: 1.0000
Run 1 | Query 1: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 2: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 3: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 4: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 5: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 6: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 7: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 8: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 9: Expected: [31] | Extracted: [31] -> Correct: True
Run 1 | Query 10: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 11: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 12: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 13: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 14: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 15: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 16: Expected: [11] | Extracted: [11] -> Correct: True
Run 1 | Query 17: Expected: [11] | Extracted: [31] -> Correct: False
Run 1 | Query 18: Expected: [11] | Extracted: [11] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 1: 0.9444
Run 2 | Query 1: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 2: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 3: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 4: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 5: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 6: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 7: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 8: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 9: Expected: [31] | Extracted: [31] -> Correct: True
Run 2 | Query 10: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 11: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 12: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 13: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 14: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 15: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 16: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 17: Expected: [11] | Extracted: [11] -> Correct: True
Run 2 | Query 18: Expected: [11] | Extracted: [11] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 2: 1.0000

--- CONFIG: N=3, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 2: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 3: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 4: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 5: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 6: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 7: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 8: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 9: Expected: [15] | Extracted: [15] -> Correct: True
Run 0 | Query 10: Expected: [95] | Extracted: [15] -> Correct: False
Run 0 | Query 11: Expected: [95] | Extracted: [95] -> Correct: True
Run 0 | Query 12: Expected: [95] | Extracted: [68] -> Correct: False
Run 0 | Query 13: Expected: [95] | Extracted: [95] -> Correct: True
Run 0 | Query 14: Expected: [95] | Extracted: [68] -> Correct: False
Run 0 | Query 15: Expected: [95] | Extracted: [68] -> Correct: False
Run 0 | Query 16: Expected: [95] | Extracted: [95] -> Correct: True
Run 0 | Query 17: Expected: [95] | Extracted: [68] -> Correct: False
Run 0 | Query 18: Expected: [95] | Extracted: [68] -> Correct: False
Run 0 | Query 19: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 20: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 21: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 22: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 23: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 24: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 25: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 26: Expected: [68] | Extracted: [68] -> Correct: True
Run 0 | Query 27: Expected: [68] | Extracted: [68] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 0: 0.7778
Run 1 | Query 1: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 2: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 3: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 4: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 5: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 6: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 7: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 8: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 9: Expected: [15] | Extracted: [15] -> Correct: True
Run 1 | Query 10: Expected: [95] | Extracted: [95] -> Correct: True
Run 1 | Query 11: Expected: [95] | Extracted: [15] -> Correct: False
Run 1 | Query 12: Expected: [95] | Extracted: [95] -> Correct: True
Run 1 | Query 13: Expected: [95] | Extracted: [68] -> Correct: False
Run 1 | Query 14: Expected: [95] | Extracted: [68] -> Correct: False
Run 1 | Query 15: Expected: [95] | Extracted: [68] -> Correct: False
Run 1 | Query 16: Expected: [95] | Extracted: [95] -> Correct: True
Run 1 | Query 17: Expected: [95] | Extracted: [95] -> Correct: True
Run 1 | Query 18: Expected: [95] | Extracted: [95] -> Correct: True
Run 1 | Query 19: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 20: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 21: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 22: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 23: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 24: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 25: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 26: Expected: [68] | Extracted: [68] -> Correct: True
Run 1 | Query 27: Expected: [68] | Extracted: [68] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 1: 0.8519
Run 2 | Query 1: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 2: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 3: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 4: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 5: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 6: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 7: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 8: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 9: Expected: [15] | Extracted: [15] -> Correct: True
Run 2 | Query 10: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 11: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 12: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 13: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 14: Expected: [95] | Extracted: [68] -> Correct: False
Run 2 | Query 15: Expected: [95] | Extracted: [68] -> Correct: False
Run 2 | Query 16: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 17: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 18: Expected: [95] | Extracted: [95] -> Correct: True
Run 2 | Query 19: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 20: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 21: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 22: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 23: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 24: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 25: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 26: Expected: [68] | Extracted: [68] -> Correct: True
Run 2 | Query 27: Expected: [68] | Extracted: [68] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 2: 0.9259

--- CONFIG: N=4, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 2: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 3: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 4: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 5: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 6: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 7: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 8: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 9: Expected: [60] | Extracted: [60] -> Correct: True
Run 0 | Query 10: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 11: Expected: [37] | Extracted: [60] -> Correct: False
Run 0 | Query 12: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 13: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 14: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 15: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 16: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 17: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 18: Expected: [37] | Extracted: [37] -> Correct: True
Run 0 | Query 19: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 20: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 21: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 22: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 23: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 24: Expected: [4] | Extracted: [60] -> Correct: False
Run 0 | Query 25: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 26: Expected: [4] | Extracted: [4] -> Correct: True
Run 0 | Query 27: Expected: [4] | Extracted: [60] -> Correct: False
Run 0 | Query 28: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 29: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 30: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 31: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 32: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 33: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 34: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 35: Expected: [29] | Extracted: [60] -> Correct: False
Run 0 | Query 36: Expected: [29] | Extracted: [60] -> Correct: False
-> FINAL ACCURACY for (4,1,9) Run 0: 0.6667
Run 1 | Query 1: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 2: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 3: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 4: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 5: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 6: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 7: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 8: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 9: Expected: [60] | Extracted: [60] -> Correct: True
Run 1 | Query 10: Expected: [37] | Extracted: [60] -> Correct: False
Run 1 | Query 11: Expected: [37] | Extracted: [37] -> Correct: True
Run 1 | Query 12: Expected: [37] | Extracted: [60] -> Correct: False
Run 1 | Query 13: Expected: [37] | Extracted: [37] -> Correct: True
Run 1 | Query 14: Expected: [37] | Extracted: [60] -> Correct: False
Run 1 | Query 15: Expected: [37] | Extracted: [37] -> Correct: True
Run 1 | Query 16: Expected: [37] | Extracted: [37] -> Correct: True
Run 1 | Query 17: Expected: [37] | Extracted: [37] -> Correct: True
Run 1 | Query 18: Expected: [37] | Extracted: [37] -> Correct: True
Run 1 | Query 19: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 20: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 21: Expected: [4] | Extracted: [4] -> Correct: True
Run 1 | Query 22: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 23: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 24: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 25: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 26: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 27: Expected: [4] | Extracted: [60] -> Correct: False
Run 1 | Query 28: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 29: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 30: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 31: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 32: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 33: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 34: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 35: Expected: [29] | Extracted: [60] -> Correct: False
Run 1 | Query 36: Expected: [29] | Extracted: [60] -> Correct: False
-> FINAL ACCURACY for (4,1,9) Run 1: 0.4444
Run 2 | Query 1: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 2: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 3: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 4: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 5: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 6: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 7: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 8: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 9: Expected: [60] | Extracted: [60] -> Correct: True
Run 2 | Query 10: Expected: [37] | Extracted: [60] -> Correct: False
Run 2 | Query 11: Expected: [37] | Extracted: [37] -> Correct: True
Run 2 | Query 12: Expected: [37] | Extracted: [60] -> Correct: False
Run 2 | Query 13: Expected: [37] | Extracted: [60] -> Correct: False
Run 2 | Query 14: Expected: [37] | Extracted: [60] -> Correct: False
Run 2 | Query 15: Expected: [37] | Extracted: [37] -> Correct: True
Run 2 | Query 16: Expected: [37] | Extracted: [60] -> Correct: False
Run 2 | Query 17: Expected: [37] | Extracted: [37] -> Correct: True
Run 2 | Query 18: Expected: [37] | Extracted: [60] -> Correct: False
Run 2 | Query 19: Expected: [4] | Extracted: [60] -> Correct: False
Run 2 | Query 20: Expected: [4] | Extracted: [4] -> Correct: True
Run 2 | Query 21: Expected: [4] | Extracted: [60] -> Correct: False
Run 2 | Query 22: Expected: [4] | Extracted: [60] -> Correct: False
Run 2 | Query 23: Expected: [4] | Extracted: [60] -> Correct: False
Run 2 | Query 24: Expected: [4] | Extracted: [4] -> Correct: True
Run 2 | Query 25: Expected: [4] | Extracted: [4] -> Correct: True
Run 2 | Query 26: Expected: [4] | Extracted: [60] -> Correct: False
Run 2 | Query 27: Expected: [4] | Extracted: [4] -> Correct: True
Run 2 | Query 28: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 29: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 30: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 31: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 32: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 33: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 34: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 35: Expected: [29] | Extracted: [60] -> Correct: False
Run 2 | Query 36: Expected: [29] | Extracted: [60] -> Correct: False
-> FINAL ACCURACY for (4,1,9) Run 2: 0.4444
