model,dataset,prompt_type,config_n,config_k,accuracy,n_trials
google/gemini-2.5-flash,dtd,nle,2,5,1.0,12
google/gemini-2.5-flash,dtd,nle,3,1,1.0,12
google/gemini-2.5-flash,dtd,nle,3,5,1.0,12
google/gemini-2.5-flash,dtd,nle,4,1,0.75,12
google/gemini-2.5-flash,dtd,nle,4,5,1.0,12
google/gemini-2.5-flash,dtd,rulebased,2,1,0.8333333333333334,12
google/gemini-2.5-flash,dtd,rulebased,2,5,1.0,12
google/gemini-2.5-flash,dtd,rulebased,3,1,0.9166666666666666,12
google/gemini-2.5-flash,dtd,rulebased,3,5,1.0,12
google/gemini-2.5-flash,dtd,rulebased,4,1,0.75,12
google/gemini-2.5-flash,dtd,rulebased,4,5,0.9166666666666666,12
google/gemini-2.5-flash,flowers,axioms_ontology_v2,2,1,1.0,12
google/gemini-2.5-flash,flowers,axioms_ontology_v2,2,5,1.0,12
google/gemini-2.5-flash,flowers,axioms_ontology_v2,3,1,1.0,12
google/gemini-2.5-flash,flowers,axioms_ontology_v2,3,5,1.0,12
google/gemini-2.5-flash,flowers,axioms_ontology_v2,4,1,1.0,12
google/gemini-2.5-flash,flowers,axioms_ontology_v2,4,5,1.0,12
google/gemini-2.5-flash,flowers,classification,2,1,1.0,12
google/gemini-2.5-flash,flowers,classification,2,5,1.0,12
google/gemini-2.5-flash,flowers,classification,3,1,1.0,12
google/gemini-2.5-flash,flowers,classification,3,5,1.0,12
google/gemini-2.5-flash,flowers,classification,4,1,1.0,12
google/gemini-2.5-flash,flowers,classification,4,5,1.0,12
google/gemini-2.5-flash,flowers,features,2,1,1.0,12
google/gemini-2.5-flash,flowers,features,2,5,1.0,12
google/gemini-2.5-flash,flowers,features,3,1,1.0,12
google/gemini-2.5-flash,flowers,features,3,5,1.0,12
google/gemini-2.5-flash,flowers,features,4,1,1.0,12
google/gemini-2.5-flash,flowers,features,4,5,1.0,12
google/gemini-2.5-flash,flowers,nle,2,1,1.0,12
google/gemini-2.5-flash,flowers,nle,2,5,1.0,12
google/gemini-2.5-flash,flowers,nle,3,1,1.0,12
google/gemini-2.5-flash,flowers,nle,3,5,1.0,12
google/gemini-2.5-flash,flowers,nle,4,1,1.0,12
google/gemini-2.5-flash,flowers,nle,4,5,1.0,12
google/gemini-2.5-flash,flowers,rulebased,2,1,1.0,12
google/gemini-2.5-flash,flowers,rulebased,2,5,1.0,12
google/gemini-2.5-flash,flowers,rulebased,3,1,1.0,12
google/gemini-2.5-flash,flowers,rulebased,3,5,1.0,12
google/gemini-2.5-flash,flowers,rulebased,4,1,1.0,12
google/gemini-2.5-flash,flowers,rulebased,4,5,1.0,12
google/gemini-2.5-flash,pets,axioms_ontology_v2,2,1,1.0,12
google/gemini-2.5-flash,pets,axioms_ontology_v2,2,5,1.0,12
google/gemini-2.5-flash,pets,axioms_ontology_v2,3,1,1.0,12
google/gemini-2.5-flash,pets,axioms_ontology_v2,3,5,1.0,12
google/gemini-2.5-flash,pets,axioms_ontology_v2,4,1,0.9166666666666666,12
google/gemini-2.5-flash,pets,axioms_ontology_v2,4,5,1.0,12
google/gemini-2.5-flash,pets,classification,2,1,1.0,12
google/gemini-2.5-flash,pets,classification,2,5,1.0,12
google/gemini-2.5-flash,pets,classification,3,1,1.0,12
google/gemini-2.5-flash,pets,classification,3,5,1.0,12
google/gemini-2.5-flash,pets,classification,4,1,0.9166666666666666,12
google/gemini-2.5-flash,pets,classification,4,5,1.0,12
google/gemini-2.5-flash,pets,features,2,1,1.0,12
google/gemini-2.5-flash,pets,features,2,5,1.0,12
google/gemini-2.5-flash,pets,features,3,1,1.0,12
google/gemini-2.5-flash,pets,features,3,5,1.0,12
google/gemini-2.5-flash,pets,features,4,1,1.0,12
google/gemini-2.5-flash,pets,features,4,5,1.0,12
google/gemini-2.5-flash,pets,nle,2,1,1.0,12
google/gemini-2.5-flash,pets,nle,2,5,1.0,12
google/gemini-2.5-flash,pets,nle,3,1,1.0,12
google/gemini-2.5-flash,pets,nle,3,5,1.0,12
google/gemini-2.5-flash,pets,nle,4,1,1.0,12
google/gemini-2.5-flash,pets,nle,4,5,1.0,12
google/gemini-2.5-flash,pets,rulebased,2,1,1.0,12
google/gemini-2.5-flash,pets,rulebased,2,5,1.0,12
google/gemini-2.5-flash,pets,rulebased,3,1,1.0,12
google/gemini-2.5-flash,pets,rulebased,3,5,1.0,12
google/gemini-2.5-flash,pets,rulebased,4,1,0.8333333333333334,12
google/gemini-2.5-flash,pets,rulebased,4,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,2,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,2,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,3,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,3,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,4,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,classification,2,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,classification,2,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,classification,3,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,classification,3,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,classification,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,cifar10,classification,4,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,features,2,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,features,2,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,features,3,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,features,3,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,features,4,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,cifar10,features,4,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,nle,2,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,nle,2,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,nle,3,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,nle,3,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,nle,4,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,cifar10,nle,4,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,rulebased,2,1,1.0,12
google/gemma-4-26b-a4b-it,cifar10,rulebased,2,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,rulebased,3,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,cifar10,rulebased,3,5,1.0,12
google/gemma-4-26b-a4b-it,cifar10,rulebased,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,cifar10,rulebased,4,5,1.0,12
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,2,1,0.75,12
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,2,5,1.0,12
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,3,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,3,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,4,1,0.75,12
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,4,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,classification,2,1,0.75,12
google/gemma-4-26b-a4b-it,dtd,classification,2,5,1.0,12
google/gemma-4-26b-a4b-it,dtd,classification,3,1,1.0,12
google/gemma-4-26b-a4b-it,dtd,classification,3,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,classification,4,1,0.6666666666666666,12
google/gemma-4-26b-a4b-it,dtd,classification,4,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,features,2,1,0.5833333333333334,12
google/gemma-4-26b-a4b-it,dtd,features,2,5,1.0,12
google/gemma-4-26b-a4b-it,dtd,features,3,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,dtd,features,3,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,features,4,1,0.5833333333333334,12
google/gemma-4-26b-a4b-it,dtd,features,4,5,0.9166666666666666,12
google/gemma-4-26b-a4b-it,dtd,nle,2,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,nle,2,5,1.0,12
google/gemma-4-26b-a4b-it,dtd,nle,3,1,1.0,12
google/gemma-4-26b-a4b-it,dtd,nle,3,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,nle,4,1,0.6666666666666666,12
google/gemma-4-26b-a4b-it,dtd,nle,4,5,0.9166666666666666,12
google/gemma-4-26b-a4b-it,dtd,rulebased,2,1,0.6666666666666666,12
google/gemma-4-26b-a4b-it,dtd,rulebased,2,5,1.0,12
google/gemma-4-26b-a4b-it,dtd,rulebased,3,1,1.0,12
google/gemma-4-26b-a4b-it,dtd,rulebased,3,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,dtd,rulebased,4,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,dtd,rulebased,4,5,0.75,12
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,2,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,2,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,3,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,3,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,4,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,4,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,classification,2,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,classification,2,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,classification,3,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,classification,3,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,classification,4,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,classification,4,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,features,2,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,features,2,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,features,3,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,features,3,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,features,4,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,features,4,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,nle,2,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,nle,2,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,nle,3,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,nle,3,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,nle,4,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,nle,4,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,rulebased,2,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,rulebased,2,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,rulebased,3,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,rulebased,3,5,1.0,12
google/gemma-4-26b-a4b-it,flowers,rulebased,4,1,1.0,12
google/gemma-4-26b-a4b-it,flowers,rulebased,4,5,1.0,12
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,2,1,1.0,12
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,2,5,1.0,12
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,3,1,0.75,12
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,3,5,1.0,12
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,4,5,0.8333333333333334,12
google/gemma-4-26b-a4b-it,pets,classification,2,1,1.0,12
google/gemma-4-26b-a4b-it,pets,classification,2,5,1.0,12
google/gemma-4-26b-a4b-it,pets,classification,3,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,pets,classification,3,5,1.0,12
google/gemma-4-26b-a4b-it,pets,classification,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,pets,classification,4,5,1.0,12
google/gemma-4-26b-a4b-it,pets,features,2,1,1.0,12
google/gemma-4-26b-a4b-it,pets,features,2,5,1.0,12
google/gemma-4-26b-a4b-it,pets,features,3,1,0.75,12
google/gemma-4-26b-a4b-it,pets,features,3,5,1.0,12
google/gemma-4-26b-a4b-it,pets,features,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,pets,features,4,5,1.0,12
google/gemma-4-26b-a4b-it,pets,nle,2,1,1.0,12
google/gemma-4-26b-a4b-it,pets,nle,2,5,1.0,12
google/gemma-4-26b-a4b-it,pets,nle,3,1,0.6666666666666666,12
google/gemma-4-26b-a4b-it,pets,nle,3,5,1.0,12
google/gemma-4-26b-a4b-it,pets,nle,4,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,pets,nle,4,5,0.9166666666666666,12
google/gemma-4-26b-a4b-it,pets,rulebased,2,1,1.0,12
google/gemma-4-26b-a4b-it,pets,rulebased,2,5,1.0,12
google/gemma-4-26b-a4b-it,pets,rulebased,3,1,0.8333333333333334,12
google/gemma-4-26b-a4b-it,pets,rulebased,3,5,1.0,12
google/gemma-4-26b-a4b-it,pets,rulebased,4,1,0.9166666666666666,12
google/gemma-4-26b-a4b-it,pets,rulebased,4,5,1.0,12
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,2,1,1.0,12
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,2,5,1.0,12
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,3,1,0.6666666666666666,12
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,3,5,0.9166666666666666,12
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,4,1,0.6666666666666666,12
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,4,5,0.9166666666666666,12
meta-llama/llama-4-scout,cifar10,classification,2,1,0.9166666666666666,12
meta-llama/llama-4-scout,cifar10,classification,2,5,1.0,12
meta-llama/llama-4-scout,cifar10,classification,3,1,0.75,12
meta-llama/llama-4-scout,cifar10,classification,3,5,1.0,12
meta-llama/llama-4-scout,cifar10,classification,4,1,0.5833333333333334,12
meta-llama/llama-4-scout,cifar10,classification,4,5,1.0,12
meta-llama/llama-4-scout,cifar10,features,2,1,0.9166666666666666,12
meta-llama/llama-4-scout,cifar10,features,2,5,1.0,12
meta-llama/llama-4-scout,cifar10,features,3,1,0.8333333333333334,12
meta-llama/llama-4-scout,cifar10,features,3,5,1.0,12
meta-llama/llama-4-scout,cifar10,features,4,1,0.6666666666666666,12
meta-llama/llama-4-scout,cifar10,features,4,5,1.0,12
meta-llama/llama-4-scout,cifar10,nle,2,1,0.9166666666666666,12
meta-llama/llama-4-scout,cifar10,nle,2,5,1.0,12
meta-llama/llama-4-scout,cifar10,nle,3,1,0.75,12
meta-llama/llama-4-scout,cifar10,nle,3,5,1.0,12
meta-llama/llama-4-scout,cifar10,nle,4,1,0.8333333333333334,12
meta-llama/llama-4-scout,cifar10,nle,4,5,1.0,12
meta-llama/llama-4-scout,cifar10,rulebased,2,1,0.8333333333333334,12
meta-llama/llama-4-scout,cifar10,rulebased,2,5,1.0,12
meta-llama/llama-4-scout,cifar10,rulebased,3,1,0.6666666666666666,12
meta-llama/llama-4-scout,cifar10,rulebased,3,5,0.9166666666666666,12
meta-llama/llama-4-scout,cifar10,rulebased,4,1,0.8333333333333334,12
meta-llama/llama-4-scout,cifar10,rulebased,4,5,0.8333333333333334,12
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,2,1,0.75,12
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,2,5,1.0,12
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,3,1,0.9166666666666666,12
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,3,5,0.8333333333333334,12
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,4,1,0.75,12
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,4,5,0.75,12
meta-llama/llama-4-scout,dtd,classification,2,1,0.6666666666666666,12
meta-llama/llama-4-scout,dtd,classification,2,5,1.0,12
meta-llama/llama-4-scout,dtd,classification,3,1,0.75,12
meta-llama/llama-4-scout,dtd,classification,3,5,0.75,12
meta-llama/llama-4-scout,dtd,classification,4,1,0.6666666666666666,12
meta-llama/llama-4-scout,dtd,classification,4,5,0.6666666666666666,12
meta-llama/llama-4-scout,dtd,features,2,1,0.6666666666666666,12
meta-llama/llama-4-scout,dtd,features,2,5,1.0,12
meta-llama/llama-4-scout,dtd,features,3,1,0.9166666666666666,12
meta-llama/llama-4-scout,dtd,features,3,5,0.75,12
meta-llama/llama-4-scout,dtd,features,4,1,0.5833333333333334,12
meta-llama/llama-4-scout,dtd,features,4,5,0.5833333333333334,12
meta-llama/llama-4-scout,dtd,nle,2,1,0.75,12
meta-llama/llama-4-scout,dtd,nle,2,5,1.0,12
meta-llama/llama-4-scout,dtd,nle,3,1,0.8333333333333334,12
meta-llama/llama-4-scout,dtd,nle,3,5,0.75,12
meta-llama/llama-4-scout,dtd,nle,4,1,0.6666666666666666,12
meta-llama/llama-4-scout,dtd,nle,4,5,0.5833333333333334,12
meta-llama/llama-4-scout,dtd,rulebased,2,1,0.75,12
meta-llama/llama-4-scout,dtd,rulebased,2,5,1.0,12
meta-llama/llama-4-scout,dtd,rulebased,3,1,0.8333333333333334,12
meta-llama/llama-4-scout,dtd,rulebased,3,5,0.6666666666666666,12
meta-llama/llama-4-scout,dtd,rulebased,4,1,0.4166666666666667,12
meta-llama/llama-4-scout,dtd,rulebased,4,5,0.6666666666666666,12
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,2,1,1.0,12
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,2,5,1.0,12
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,3,1,1.0,12
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,3,5,1.0,12
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,4,1,0.75,12
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,4,5,1.0,12
meta-llama/llama-4-scout,flowers,classification,2,1,1.0,12
meta-llama/llama-4-scout,flowers,classification,2,5,1.0,12
meta-llama/llama-4-scout,flowers,classification,3,1,1.0,12
meta-llama/llama-4-scout,flowers,classification,3,5,1.0,12
meta-llama/llama-4-scout,flowers,classification,4,1,1.0,12
meta-llama/llama-4-scout,flowers,classification,4,5,1.0,12
meta-llama/llama-4-scout,flowers,features,2,1,1.0,12
meta-llama/llama-4-scout,flowers,features,2,5,1.0,12
meta-llama/llama-4-scout,flowers,features,3,1,1.0,12
meta-llama/llama-4-scout,flowers,features,3,5,1.0,12
meta-llama/llama-4-scout,flowers,features,4,1,1.0,12
meta-llama/llama-4-scout,flowers,features,4,5,1.0,12
meta-llama/llama-4-scout,flowers,nle,2,1,1.0,12
meta-llama/llama-4-scout,flowers,nle,2,5,1.0,12
meta-llama/llama-4-scout,flowers,nle,3,1,1.0,12
meta-llama/llama-4-scout,flowers,nle,3,5,1.0,12
meta-llama/llama-4-scout,flowers,nle,4,1,1.0,12
meta-llama/llama-4-scout,flowers,nle,4,5,1.0,12
meta-llama/llama-4-scout,flowers,rulebased,2,1,1.0,12
meta-llama/llama-4-scout,flowers,rulebased,2,5,1.0,12
meta-llama/llama-4-scout,flowers,rulebased,3,1,0.9166666666666666,12
meta-llama/llama-4-scout,flowers,rulebased,3,5,1.0,12
meta-llama/llama-4-scout,flowers,rulebased,4,1,1.0,12
meta-llama/llama-4-scout,flowers,rulebased,4,5,1.0,12
meta-llama/llama-4-scout,pets,axioms_ontology_v2,2,1,0.9166666666666666,12
meta-llama/llama-4-scout,pets,axioms_ontology_v2,2,5,1.0,12
meta-llama/llama-4-scout,pets,axioms_ontology_v2,3,1,0.5,12
meta-llama/llama-4-scout,pets,axioms_ontology_v2,3,5,1.0,12
meta-llama/llama-4-scout,pets,axioms_ontology_v2,4,1,1.0,12
meta-llama/llama-4-scout,pets,axioms_ontology_v2,4,5,1.0,12
meta-llama/llama-4-scout,pets,classification,2,1,1.0,12
meta-llama/llama-4-scout,pets,classification,2,5,1.0,12
meta-llama/llama-4-scout,pets,classification,3,1,0.6666666666666666,12
meta-llama/llama-4-scout,pets,classification,3,5,1.0,12
meta-llama/llama-4-scout,pets,classification,4,1,0.8333333333333334,12
meta-llama/llama-4-scout,pets,classification,4,5,1.0,12
meta-llama/llama-4-scout,pets,features,2,1,1.0,12
meta-llama/llama-4-scout,pets,features,2,5,1.0,12
meta-llama/llama-4-scout,pets,features,3,1,0.5833333333333334,12
meta-llama/llama-4-scout,pets,features,3,5,1.0,12
meta-llama/llama-4-scout,pets,features,4,1,0.75,12
meta-llama/llama-4-scout,pets,features,4,5,1.0,12
meta-llama/llama-4-scout,pets,nle,2,1,1.0,12
meta-llama/llama-4-scout,pets,nle,2,5,1.0,12
meta-llama/llama-4-scout,pets,nle,3,1,0.6666666666666666,12
meta-llama/llama-4-scout,pets,nle,3,5,1.0,12
meta-llama/llama-4-scout,pets,nle,4,1,0.9166666666666666,12
meta-llama/llama-4-scout,pets,nle,4,5,1.0,12
meta-llama/llama-4-scout,pets,rulebased,2,1,1.0,12
meta-llama/llama-4-scout,pets,rulebased,2,5,1.0,12
meta-llama/llama-4-scout,pets,rulebased,3,1,0.8333333333333334,12
meta-llama/llama-4-scout,pets,rulebased,3,5,1.0,12
meta-llama/llama-4-scout,pets,rulebased,4,1,0.75,12
meta-llama/llama-4-scout,pets,rulebased,4,5,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,2,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,3,1,0.5,12
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,4,1,0.5833333333333334,12
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,4,5,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,classification,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,classification,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,classification,3,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,classification,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,classification,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,cifar10,classification,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,features,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,features,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,features,3,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,features,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,features,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,cifar10,features,4,5,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,nle,2,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,nle,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,nle,3,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,nle,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,nle,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,cifar10,nle,4,5,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,2,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,3,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,4,1,0.75,12
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,2,1,0.75,12
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,2,5,0.75,12
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,3,1,0.75,12
