prompt_type,model,dataset,config_n,config_k,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,meta-llama/llama-4-scout,pets,3,1,6,12,0.5000,0.144338,0.2538,0.7462
axioms_ontology_v2,meta-llama/llama-4-scout,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
axioms_ontology_v2,meta-llama/llama-4-scout,pets,4,1,12,12,1.0000,0.000000,0.7575,1.0000
axioms_ontology_v2,meta-llama/llama-4-scout,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,cifar10,2,1,11,12,0.9167,0.079786,0.6461,0.9851
classification,meta-llama/llama-4-scout,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,cifar10,3,1,9,12,0.7500,0.125000,0.4677,0.9111
classification,meta-llama/llama-4-scout,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,cifar10,4,1,7,12,0.5833,0.142319,0.3195,0.8067
classification,meta-llama/llama-4-scout,cifar10,4,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,dtd,2,1,8,12,0.6667,0.136083,0.3906,0.8619
classification,meta-llama/llama-4-scout,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,dtd,3,1,9,12,0.7500,0.125000,0.4677,0.9111
classification,meta-llama/llama-4-scout,dtd,3,5,9,12,0.7500,0.125000,0.4677,0.9111
classification,meta-llama/llama-4-scout,dtd,4,1,8,12,0.6667,0.136083,0.3906,0.8619
classification,meta-llama/llama-4-scout,dtd,4,5,8,12,0.6667,0.136083,0.3906,0.8619
classification,meta-llama/llama-4-scout,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,pets,3,1,8,12,0.6667,0.136083,0.3906,0.8619
classification,meta-llama/llama-4-scout,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
classification,meta-llama/llama-4-scout,pets,4,1,10,12,0.8333,0.107583,0.5520,0.9530
classification,meta-llama/llama-4-scout,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,cifar10,2,1,11,12,0.9167,0.079786,0.6461,0.9851
features,meta-llama/llama-4-scout,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,cifar10,3,1,10,12,0.8333,0.107583,0.5520,0.9530
features,meta-llama/llama-4-scout,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,cifar10,4,1,8,12,0.6667,0.136083,0.3906,0.8619
features,meta-llama/llama-4-scout,cifar10,4,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,dtd,2,1,8,12,0.6667,0.136083,0.3906,0.8619
features,meta-llama/llama-4-scout,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,dtd,3,1,11,12,0.9167,0.079786,0.6461,0.9851
features,meta-llama/llama-4-scout,dtd,3,5,9,12,0.7500,0.125000,0.4677,0.9111
features,meta-llama/llama-4-scout,dtd,4,1,7,12,0.5833,0.142319,0.3195,0.8067
features,meta-llama/llama-4-scout,dtd,4,5,7,12,0.5833,0.142319,0.3195,0.8067
features,meta-llama/llama-4-scout,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,pets,3,1,7,12,0.5833,0.142319,0.3195,0.8067
features,meta-llama/llama-4-scout,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
features,meta-llama/llama-4-scout,pets,4,1,9,12,0.7500,0.125000,0.4677,0.9111
features,meta-llama/llama-4-scout,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,cifar10,2,1,11,12,0.9167,0.079786,0.6461,0.9851
nle,meta-llama/llama-4-scout,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,cifar10,3,1,9,12,0.7500,0.125000,0.4677,0.9111
nle,meta-llama/llama-4-scout,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,cifar10,4,1,10,12,0.8333,0.107583,0.5520,0.9530
nle,meta-llama/llama-4-scout,cifar10,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,dtd,2,1,9,12,0.7500,0.125000,0.4677,0.9111
nle,meta-llama/llama-4-scout,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,dtd,3,1,10,12,0.8333,0.107583,0.5520,0.9530
nle,meta-llama/llama-4-scout,dtd,3,5,9,12,0.7500,0.125000,0.4677,0.9111
nle,meta-llama/llama-4-scout,dtd,4,1,8,12,0.6667,0.136083,0.3906,0.8619
nle,meta-llama/llama-4-scout,dtd,4,5,7,12,0.5833,0.142319,0.3195,0.8067
nle,meta-llama/llama-4-scout,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,pets,3,1,8,12,0.6667,0.136083,0.3906,0.8619
nle,meta-llama/llama-4-scout,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,meta-llama/llama-4-scout,pets,4,1,11,12,0.9167,0.079786,0.6461,0.9851
nle,meta-llama/llama-4-scout,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,cifar10,2,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,meta-llama/llama-4-scout,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,cifar10,3,1,8,12,0.6667,0.136083,0.3906,0.8619
rulebased,meta-llama/llama-4-scout,cifar10,3,5,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,meta-llama/llama-4-scout,cifar10,4,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,meta-llama/llama-4-scout,cifar10,4,5,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,meta-llama/llama-4-scout,dtd,2,1,9,12,0.7500,0.125000,0.4677,0.9111
rulebased,meta-llama/llama-4-scout,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,dtd,3,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,meta-llama/llama-4-scout,dtd,3,5,8,12,0.6667,0.136083,0.3906,0.8619
rulebased,meta-llama/llama-4-scout,dtd,4,1,5,12,0.4167,0.142319,0.1933,0.6805
rulebased,meta-llama/llama-4-scout,dtd,4,5,8,12,0.6667,0.136083,0.3906,0.8619
rulebased,meta-llama/llama-4-scout,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,flowers,3,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,meta-llama/llama-4-scout,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,pets,3,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,meta-llama/llama-4-scout,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,meta-llama/llama-4-scout,pets,4,1,9,12,0.7500,0.125000,0.4677,0.9111
rulebased,meta-llama/llama-4-scout,pets,4,5,10,12,0.8333,0.107583,0.5520,0.9530
