prompt_type,model,dataset,config_n,config_k,correct,total,accuracy,standard_error,ci95_low,ci95_high
features,google/gemma-4-26b-a4b-it,pets,4,1,10,12,0.8333,0.107583,0.5520,0.9530
features,google/gemma-4-26b-a4b-it,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,cifar10,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,cifar10,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,cifar10,4,1,11,12,0.9167,0.079786,0.6461,0.9851
nle,google/gemma-4-26b-a4b-it,cifar10,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,dtd,2,1,10,12,0.8333,0.107583,0.5520,0.9530
nle,google/gemma-4-26b-a4b-it,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,dtd,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,dtd,3,5,10,12,0.8333,0.107583,0.5520,0.9530
nle,google/gemma-4-26b-a4b-it,dtd,4,1,8,12,0.6667,0.136083,0.3906,0.8619
nle,google/gemma-4-26b-a4b-it,dtd,4,5,11,12,0.9167,0.079786,0.6461,0.9851
nle,google/gemma-4-26b-a4b-it,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,pets,3,1,8,12,0.6667,0.136083,0.3906,0.8619
nle,google/gemma-4-26b-a4b-it,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
nle,google/gemma-4-26b-a4b-it,pets,4,1,10,12,0.8333,0.107583,0.5520,0.9530
nle,google/gemma-4-26b-a4b-it,pets,4,5,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemma-4-26b-a4b-it,cifar10,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,cifar10,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,cifar10,3,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemma-4-26b-a4b-it,cifar10,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,cifar10,4,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,google/gemma-4-26b-a4b-it,cifar10,4,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,dtd,2,1,8,12,0.6667,0.136083,0.3906,0.8619
rulebased,google/gemma-4-26b-a4b-it,dtd,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,dtd,3,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,dtd,3,5,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,google/gemma-4-26b-a4b-it,dtd,4,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemma-4-26b-a4b-it,dtd,4,5,9,12,0.7500,0.125000,0.4677,0.9111
rulebased,google/gemma-4-26b-a4b-it,flowers,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,flowers,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,flowers,3,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,flowers,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,flowers,4,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,flowers,4,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,pets,2,1,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,pets,2,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,pets,3,1,10,12,0.8333,0.107583,0.5520,0.9530
rulebased,google/gemma-4-26b-a4b-it,pets,3,5,12,12,1.0000,0.000000,0.7575,1.0000
rulebased,google/gemma-4-26b-a4b-it,pets,4,1,11,12,0.9167,0.079786,0.6461,0.9851
rulebased,google/gemma-4-26b-a4b-it,pets,4,5,12,12,1.0000,0.000000,0.7575,1.0000
