=== DEBUG LOG: gemma3 | dtd | Prompt: classification ===
-> FINAL ACCURACY for (2,2,9) Run 2: 1.0000

--- CONFIG: N=2, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 2: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 3: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 4: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 5: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 6: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 7: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 8: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 9: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 0 | Query 10: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 11: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 12: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 13: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 14: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 15: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 16: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 17: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 0 | Query 18: Expected: [swirly] | Extracted: [swirly] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 0: 1.0000
Run 1 | Query 1: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 2: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 3: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 4: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 5: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 6: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 7: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 8: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 9: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 1 | Query 10: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 11: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 12: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 13: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 14: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 15: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 16: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 17: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 1 | Query 18: Expected: [swirly] | Extracted: [swirly] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 1: 1.0000
Run 2 | Query 1: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 2: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 3: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 4: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 5: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 6: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 7: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 8: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 9: Expected: [meshed] | Extracted: [meshed] -> Correct: True
Run 2 | Query 10: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 11: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 12: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 13: Expected: [swirly] | Extracted: [meshed] -> Correct: False
Run 2 | Query 14: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 15: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 16: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 17: Expected: [swirly] | Extracted: [swirly] -> Correct: True
Run 2 | Query 18: Expected: [swirly] | Extracted: [meshed] -> Correct: False
-> FINAL ACCURACY for (2,1,9) Run 2: 0.8889

--- CONFIG: N=3, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 2: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 3: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 4: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 5: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 6: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 7: Expected: [perforated] | Extracted: [grid] -> Correct: False
Run 0 | Query 8: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 9: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 0 | Query 10: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 11: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 12: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 13: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 14: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 15: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 16: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 17: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 18: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 19: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 20: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 21: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 22: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 23: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 24: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 25: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 0 | Query 26: Expected: [grid] | Extracted: [perforated] -> Correct: False
Run 0 | Query 27: Expected: [grid] | Extracted: [grid] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 0: 0.9259
Run 1 | Query 1: Expected: [perforated] | Extracted: [grid] -> Correct: False
Run 1 | Query 2: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 3: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 4: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 5: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 6: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 7: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 8: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 9: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 1 | Query 10: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 11: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 12: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 13: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 14: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 15: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 16: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 17: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 18: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 19: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 20: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 21: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 22: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 23: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 24: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 25: Expected: [grid] | Extracted: [woven] -> Correct: False
Run 1 | Query 26: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 1 | Query 27: Expected: [grid] | Extracted: [grid] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 1: 0.9259
Run 2 | Query 1: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 2: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 3: Expected: [perforated] | Extracted: [grid] -> Correct: False
Run 2 | Query 4: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 5: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 6: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 7: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 8: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 9: Expected: [perforated] | Extracted: [perforated] -> Correct: True
Run 2 | Query 10: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 11: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 12: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 13: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 14: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 15: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 16: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 17: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 18: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 19: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 20: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 21: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 22: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 23: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 24: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 25: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 26: Expected: [grid] | Extracted: [grid] -> Correct: True
Run 2 | Query 27: Expected: [grid] | Extracted: [grid] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 2: 0.9630

--- CONFIG: N=4, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 2: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 3: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 4: Expected: [pleated] | Extracted: [veined] -> Correct: False
Run 0 | Query 5: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 6: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 7: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 8: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 9: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 0 | Query 10: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 11: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 12: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 13: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 14: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 15: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 16: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 17: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 18: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 0 | Query 19: Expected: [veined] | Extracted: [marbled] -> Correct: False
Run 0 | Query 20: Expected: [veined] | Extracted: [marbled] -> Correct: False
Run 0 | Query 21: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 0 | Query 22: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 0 | Query 23: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 0 | Query 24: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 0 | Query 25: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 0 | Query 26: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 0 | Query 27: Expected: [veined] | Extracted: [marbled] -> Correct: False
Run 0 | Query 28: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 29: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 30: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 31: Expected: [woven] | Extracted: [marbled] -> Correct: False
Run 0 | Query 32: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 33: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 34: Expected: [woven] | Extracted: [pleated] -> Correct: False
Run 0 | Query 35: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 0 | Query 36: Expected: [woven] | Extracted: [woven] -> Correct: True
-> FINAL ACCURACY for (4,1,9) Run 0: 0.8333
Run 1 | Query 1: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 2: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 3: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 4: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 5: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 6: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 7: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 8: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 9: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 1 | Query 10: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 11: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 12: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 13: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 14: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 15: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 16: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 17: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 1 | Query 18: Expected: [marbled] | Extracted: [veined] -> Correct: False
Run 1 | Query 19: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 20: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 21: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 22: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 23: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 24: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 25: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 26: Expected: [veined] | Extracted: [marbled] -> Correct: False
Run 1 | Query 27: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 1 | Query 28: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 29: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 30: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 31: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 32: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 33: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 34: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 35: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 1 | Query 36: Expected: [woven] | Extracted: [pleated] -> Correct: False
-> FINAL ACCURACY for (4,1,9) Run 1: 0.9167
Run 2 | Query 1: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 2: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 3: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 4: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 5: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 6: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 7: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 8: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 9: Expected: [pleated] | Extracted: [pleated] -> Correct: True
Run 2 | Query 10: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 11: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 12: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 13: Expected: [marbled] | Extracted: [veined] -> Correct: False
Run 2 | Query 14: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 15: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 16: Expected: [marbled] | Extracted: [veined] -> Correct: False
Run 2 | Query 17: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 18: Expected: [marbled] | Extracted: [marbled] -> Correct: True
Run 2 | Query 19: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 20: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 21: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 22: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 23: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 24: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 25: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 26: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 27: Expected: [veined] | Extracted: [veined] -> Correct: True
Run 2 | Query 28: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 29: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 30: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 31: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 32: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 33: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 34: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 35: Expected: [woven] | Extracted: [woven] -> Correct: True
Run 2 | Query 36: Expected: [woven] | Extracted: [woven] -> Correct: True
-> FINAL ACCURACY for (4,1,9) Run 2: 0.9444
