=== DEBUG LOG: gemma3 | cifar10 | Prompt: classification ===
Run 0 | Query 4: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 5: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 6: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 7: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 8: Expected: [bird] | Extracted: [frog] -> Correct: False
Run 0 | Query 9: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 10: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 11: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 12: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 13: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 14: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 15: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 16: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 17: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 18: Expected: [frog] | Extracted: [frog] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 0: 0.8889
Run 1 | Query 1: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 2: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 3: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 4: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 5: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 6: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 7: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 8: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 9: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 10: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 11: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 12: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 13: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 14: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 15: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 16: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 17: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 18: Expected: [frog] | Extracted: [frog] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 1: 1.0000
Run 2 | Query 1: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 2: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 3: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 4: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 5: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 6: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 7: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 8: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 9: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 10: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 11: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 12: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 13: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 14: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 15: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 16: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 17: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 18: Expected: [frog] | Extracted: [frog] -> Correct: True
-> FINAL ACCURACY for (2,1,9) Run 2: 1.0000

--- CONFIG: N=3, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 2: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 3: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 4: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 5: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 6: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 7: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 8: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 9: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 0 | Query 10: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 11: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 12: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 13: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 14: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 15: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 16: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 17: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 18: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 0 | Query 19: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 20: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 21: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 22: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 23: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 24: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 25: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 26: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 0 | Query 27: Expected: [horse] | Extracted: [horse] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 0: 1.0000
Run 1 | Query 1: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 2: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 3: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 4: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 5: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 6: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 7: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 8: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 9: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 1 | Query 10: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 11: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 12: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 13: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 14: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 15: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 16: Expected: [bird] | Extracted: [truck] -> Correct: False
Run 1 | Query 17: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 18: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 1 | Query 19: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 20: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 21: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 22: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 23: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 24: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 25: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 1 | Query 26: Expected: [horse] | Extracted: [bird] -> Correct: False
Run 1 | Query 27: Expected: [horse] | Extracted: [horse] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 1: 0.9259
Run 2 | Query 1: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 2: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 3: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 4: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 5: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 6: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 7: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 8: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 9: Expected: [truck] | Extracted: [truck] -> Correct: True
Run 2 | Query 10: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 11: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 12: Expected: [bird] | Extracted: [horse] -> Correct: False
Run 2 | Query 13: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 14: Expected: [bird] | Extracted: [horse] -> Correct: False
Run 2 | Query 15: Expected: [bird] | Extracted: [truck] -> Correct: False
Run 2 | Query 16: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 17: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 18: Expected: [bird] | Extracted: [bird] -> Correct: True
Run 2 | Query 19: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 20: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 21: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 22: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 23: Expected: [horse] | Extracted: [truck] -> Correct: False
Run 2 | Query 24: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 25: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 26: Expected: [horse] | Extracted: [horse] -> Correct: True
Run 2 | Query 27: Expected: [horse] | Extracted: [horse] -> Correct: True
-> FINAL ACCURACY for (3,1,9) Run 2: 0.8519

--- CONFIG: N=4, K=1, Q=9 (3 RUNS) ---
Run 0 | Query 1: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 2: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 3: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 4: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 5: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 6: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 7: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 8: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 9: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 0 | Query 10: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 11: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 12: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 13: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 14: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 15: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 16: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 17: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 18: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 0 | Query 19: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 20: Expected: [frog] | Extracted: [deer] -> Correct: False
Run 0 | Query 21: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 22: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 23: Expected: [frog] | Extracted: [automobile] -> Correct: False
Run 0 | Query 24: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 25: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 26: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 27: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 0 | Query 28: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 29: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 30: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 31: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 32: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 33: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 34: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 35: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 0 | Query 36: Expected: [ship] | Extracted: [ship] -> Correct: True
-> FINAL ACCURACY for (4,1,9) Run 0: 0.9444
Run 1 | Query 1: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 2: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 3: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 4: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 5: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 6: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 7: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 8: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 9: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 1 | Query 10: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 11: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 12: Expected: [deer] | Extracted: [automobile] -> Correct: False
Run 1 | Query 13: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 14: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 15: Expected: [deer] | Extracted: [automobile] -> Correct: False
Run 1 | Query 16: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 17: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 18: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 1 | Query 19: Expected: [frog] | Extracted: [deer] -> Correct: False
Run 1 | Query 20: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 21: Expected: [frog] | Extracted: [automobile] -> Correct: False
Run 1 | Query 22: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 23: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 24: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 25: Expected: [frog] | Extracted: [automobile] -> Correct: False
Run 1 | Query 26: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 1 | Query 27: Expected: [frog] | Extracted: [deer] -> Correct: False
Run 1 | Query 28: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 29: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 30: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 31: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 32: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 33: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 34: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 35: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 1 | Query 36: Expected: [ship] | Extracted: [ship] -> Correct: True
-> FINAL ACCURACY for (4,1,9) Run 1: 0.8333
Run 2 | Query 1: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 2: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 3: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 4: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 5: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 6: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 7: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 8: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 9: Expected: [automobile] | Extracted: [automobile] -> Correct: True
Run 2 | Query 10: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 11: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 12: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 13: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 14: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 15: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 16: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 17: Expected: [deer] | Extracted: [deer] -> Correct: True
Run 2 | Query 18: Expected: [deer] | Extracted: [automobile] -> Correct: False
Run 2 | Query 19: Expected: [frog] | Extracted: [deer] -> Correct: False
Run 2 | Query 20: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 21: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 22: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 23: Expected: [frog] | Extracted: [deer] -> Correct: False
Run 2 | Query 24: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 25: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 26: Expected: [frog] | Extracted: [frog] -> Correct: True
Run 2 | Query 27: Expected: [frog] | Extracted: [deer] -> Correct: False
Run 2 | Query 28: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 29: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 30: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 31: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 32: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 33: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 34: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 35: Expected: [ship] | Extracted: [ship] -> Correct: True
Run 2 | Query 36: Expected: [ship] | Extracted: [ship] -> Correct: True
-> FINAL ACCURACY for (4,1,9) Run 2: 0.8889
